题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,,,,,,,,
纸是传承人类文明的载体之一．纸的主要化学成分是（　　）,纤维素,蛋白质,塑料,淀粉,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/bc928f4bc451973608f708f08897_2348916ex.png,973608f708f08897_2348916ex.png,,,,,,,,,,,,
下列实验操作正确的是（ ）,在蔗糖与稀硫酸共热后的溶液中，滴加银氨溶液，验证产物中的葡萄糖,淀粉中加入98%的硫酸溶液，在酒精灯上加热，使其水解,棉花中加入90%的硫酸，并用玻璃棒把棉花捣烂，在酒精灯上直接加热使其水解,向淀粉水解后的溶液中加入碘水，溶液变蓝，证明淀粉尚未水解,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/eae01b8d3cddb2ae950ce764ccbb_3964271ex.png,b2ae950ce764ccbb_3964271ex.png,,,,,,,,,,,,
下列有关物质的说法正确的是（　　）,淀粉、纤维素、蛋白质的水解产物相同，都可以用来酿酒,油脂水解产物之一的甘油与乙醇含有相同的官能团,乙醇与乙醛互为同分异构体，乙醇可由乙烯通过加成反应制取,通过石油的裂化可得到乙烯，煤的干馏可得到煤焦油,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8d7a0e5e784fddf4c3854ecfc029_2348637ex.png,ddf4c3854ecfc029_2348637ex.png,,,,,,,,,,,,
下列各物质中，不能发生水解反应的是（ ）,果糖,蔗糖,纤维素,酶,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/98b38aabe10fd2c6b4343b153fd0_3978494ex.png,d2c6b4343b153fd0_3978494ex.png,,,,,,,,,,,,
华夏文明源远流长，以下说法从化学视角理解错误的是（ ）,“日照澄洲江雾开，淘金女伴满江隈”，诗中包含了丁达尔现象,“甘之如饴”， 说明糖类均有甜味,“凡石灰，经火焚炼为用”， 这段记载中涉及分解反应,“百宝都从海舶来，玻璃大镜比门排”，制玻璃的某成分可用于制造光导纤维,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/855311ecfe5e6c6cf0cfbacb3b7a_14224560ex.png,c6cf0cfbacb3b7a_14224560ex.png,,,,,,,,,,,,
下列说法不正确的是（　　）,丙烯和丙烷可用Br<sub>2</sub>的CCl<sub>4</sub>溶液来区别,淀粉水解的最终产物是葡萄糖,米酒变酸的过程涉及了氧化反应,石油分馏和石油的裂化都属于化学变化,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1914873d227f8906a3a95cf787ae_2348632ex.png,8906a3a95cf787ae_2348632ex.png,,,,,,,,,,,,
根据转化关系判断下列说法正确的是（ ）,反应①中，(C<sub>6</sub>H<sub>10</sub>O<sub>5</sub>)<sub>n</sub>可表示淀粉或纤维素,反应②中，1mol葡萄糖可分解产生3mol乙醇,将在空气中灼烧后的铜丝趁热插入乙醇中可得到乙酸,反应③得到的乙酸乙酯中含有乙醇和乙酸，可用饱和氢氧化钠溶液除去,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/019ec6268eec29533878bf389f00_9007866ex.png,29533878bf389f00_9007866ex.png,,,,,,,,,,,,
下列说法中错误的是（ ）,淀粉、纤维素都是天然有机高分子化合物,单糖是不能发生水解的最简单的糖类,分子式符合C<sub>n</sub>(H<sub>2</sub>O)<sub>m</sub>的物质，都是糖类物质,淀粉和纤维素都是由碳氢氧三种元素组成，两化合物中三元素的质量比相等,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/85b9be00b5beaaab394fed0fceff_889248ex.png,eaaab394fed0fceff_889248ex.png,,,,,,,,,,,,
下列物质中属于天然高分子化合物的是（　　）,果糖,葡萄糖,纤维素,乙酸,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5eac3a493562a37e1a2355f4a48e_2349032ex.png,a37e1a2355f4a48e_2349032ex.png,,,,,,,,,,,,
化学与生化、社会密切相关，下列说法不正确的是（　　）,维生素在天然食品中含量丰富，所以加工后的食品中维生素的含量也高,2M+N=2P+2Q，2P+M=Q（M、N为原料，Q为期望产品）符合“化学反应的绿色化”的要求,稀的双氧水可用于清洗伤口，以达到杀菌、消毒的目的,可以用Si<sub>3</sub>N<sub>4</sub>、Al<sub>2</sub>O<sub>3</sub>制作高温结构陶瓷制品,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/860461305c947582451247a47f13_2348950ex.png,7582451247a47f13_2348950ex.png,,,,,,,,,,,,
化学与生活、社会密切相关．下列说法中正确的是（　　）,酿酒过程中，葡萄糖可通过水解反应生成酒精,利用催化转化装置可以将汽车尾气中的NO和CO转化为无害气体,酸性高锰酸钾溶液中加入植物油充分振荡后，溶液紫色不会褪去,作航天服的聚酯纤维和用于光缆通信的光导纤维都是新型无机非金属材料,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a78b21e618b7b5f49bdbbbfbbd55_2348484ex.png,b5f49bdbbbfbbd55_2348484ex.png,,,,,,,,,,,,
下列说法正确的是（ ）,淀粉和纤维素均可以有（C<sub>6</sub>H<sub>10</sub>O<sub>5</sub>）n表示，因此它们互为同分异构体,17g羟基中所含电子的物质的量为9mol,铁位于元素周期表中第四周期第ⅧB族,氨、塑料和橡胶都是以石油化工为基础的三大合成材料,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c8e17758e692f6b3f37a1a48036a_4012326ex.png,f6b3f37a1a48036a_4012326ex.png,,,,,,,,,,,,
淀粉和纤维素都可以用（C6H10O5）n表示分子组成，所以它们是（ ）,同分异构体,同一种物质,同系物,多糖类物质,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a69bca5f7de4f27ad809ff34480d_3964276ex.png,f27ad809ff34480d_3964276ex.png,,,,,,,,,,,,
下列有关葡萄糖性质的叙述中，错误的是（ ）。,能加氢生成六元醇,能与新制氢氧化铜反应,与醇发生酯化反应,能被氧化为酒精和 <img src="/files/attach/files/content/2020/0325/1585129233.094.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5bfd79bc4377847ba1e9d5dfbe8a_1376227ex.png,847ba1e9d5dfbe8a_1376227ex.png,,,,,,,,,,,,
下列物质的主要成分属于天然纤维素的是（ ）,聚乙烯,尼龙,棉花,涤纶,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c63f330a2b12fd58e0c8163dc155_3584482ex.png,fd58e0c8163dc155_3584482ex.png,,,,,,,,,,,,
糖类的组成、结构和用途，下列关于糖类的说法正确的是( ),糖类物质的组成都符合C<span><sub>m</sub></span>(H<sub>2</sub>O)<span><sub>n</sub></span,单糖就是分子组成简单的糖,含有醛基的糖就是还原性糖,淀粉、纤维素都是多糖，其分子式相同,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9133ab4769aa05321e2c29d15001_1505518ex.png,05321e2c29d15001_1505518ex.png,,,,,,,,,,,,
糖类是人类所需的基本营养物质，下列物质中富含糖类的是（ ）,白酒,白醋,馒头,木糖醇,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/424c49ba2e02d83607fc5e92f8f3_7128265ex.png,d83607fc5e92f8f3_7128265ex.png,,,,,,,,,,,,
下列物质能与银氨溶液反应的是（ ）,葡萄糖,油脂,乙醇,纤维素,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/281b69486cdecf0ec186a75fabdd_2742896ex.png,cf0ec186a75fabdd_2742896ex.png,,,,,,,,,,,,
下列说法正确的是（ ）,凡是能溶于水有甜味的物质都属于糖类,糖类都能发生水解反应,油脂、糖类都属于高分子化合物,葡萄糖属于单糖,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0c3b5c0ff9ecf805a69b3ba1411d_13533986ex.png,805a69b3ba1411d_13533986ex.png,,,,,,,,,,,,
将淀粉浆和淀粉酶的混合物放入半透膜袋中，扎好袋口浸入流动的温水中．经过足够长的时间后，取出袋内的液体，分别与：①碘水、②新制Cu（OH）2加热、③浓硝酸（微热）作用，其现象依次是（ ）,显蓝色；无红色沉淀；显黄色,显蓝色；有红色沉淀；不显黄色,不显蓝色；无红色沉淀；显黄色,不显蓝色；无红色沉淀；不显黄色,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/cbfebd400709aa6091484075f59d_3964277ex.png,aa6091484075f59d_3964277ex.png,,,,,,,,,,,,
广告称某品牌的八宝粥（含桂圆、红豆、糯米）不加糖，比加糖还甜，适合糖尿病人食用。你认为下列判断不正确的是( ),这个广告有误导喜爱甜食消费者的嫌疑,糖尿病人应少吃含糖的食品，该八宝粥未加糖，可以放心食用,不加糖不等于没有糖，糖尿病人食用需慎重,不能听从厂商或广告商的宣传，应询问医生,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b59ca8ccd0c43ec8eb21329d4c1f_1376220ex.png,3ec8eb21329d4c1f_1376220ex.png,,,,,,,,,,,,
下列糖中，既能发生银镜反应，又能发生水解反应的是（ ）,葡萄糖,果糖,麦芽糖,淀粉,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/59209b7b868a9004d17a8e4a9e05_3516324ex.png,9004d17a8e4a9e05_3516324ex.png,,,,,,,,,,,,
下列属于淀粉的特征反应的是（ ）,在加热条件下，与新制的氢氧化铜反应产生砖红色沉淀,在常温下，遇碘变蓝,在加热条件下，与银氨溶液反应析出银,灼烧时有烧焦羽毛的特殊气味,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0a149c2bb5327d3807e1cbf7212e_11071780ex.png,d3807e1cbf7212e_11071780ex.png,,,,,,,,,,,,
实验室进行下列实验，在选择实验装置时应当考虑冷凝回流装置的是（　　）,葡萄糖与银氨溶液共热制银镜,用蒸馏烧瓶从石油中提取汽油,苯与浓硝酸、浓硫酸共热制硝基苯,乙醇、丁酸与浓硫酸共热制丁酸乙酯,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/76768b354fe0de904412d4ef1d62_2348471ex.png,de904412d4ef1d62_2348471ex.png,,,,,,,,,,,,
下列说法正确的是（　　）,淀粉和纤维素水解的最终产物都是葡萄糖,可以用NaOH溶液除去乙酸乙酯中的乙醇,天然油脂的主要成分是高级脂肪酸,CH≡CH和CH<sub>2</sub>=CHCH=CH<sub>2</sub>互为同系物,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/be99bb6ff9816aed31dd59e36b42_2348640ex.png,6aed31dd59e36b42_2348640ex.png,,,,,,,,,,,,
下列说法正确的是（ ）,纤维素属于多糖，在人体内水解转化为葡萄糖，也可为人类提供能量,糖尿病患者吃糖量必须限制，但淀粉类食物不必进行限制,同质量的脂肪在体内氧化放出的能量比糖类和蛋白质高得多，是提供能量的主要物质,葡萄糖在人体内不可以转化为脂肪，所以吃糖不会使人发胖,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b459bc4501e99309ab7a8f3e7ce5_4012324ex.png,9309ab7a8f3e7ce5_4012324ex.png,,,,,,,,,,,,
在化学魔术中，一张白纸在用碘溶液喷洒后会呈现出蓝色字迹，其奥秘在于这张白纸曾经一种“隐秘墨水”书写过．这种“隐秘墨水”为（ ）,食盐水,白醋,淀粉溶液,蔗糖溶液,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/28c7064ee4d6fb6084e75077caf3_3964273ex.png,fb6084e75077caf3_3964273ex.png,,,,,,,,,,,,
下列有关糖类的说法，错误的是（ ）,糖类由碳、氢、氧三种元素组成,糖类是人类食物的重要成分之一,在人类食物所提供的总能量中大约有75%来自糖类,淀粉在人体内经酶的催化作用，与水发生一系列反应，最终变为蔗糖,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/43a09f63b5ad3a020306a1ce6ec2_6630731ex.png,3a020306a1ce6ec2_6630731ex.png,,,,,,,,,,,,
有关糖类物质概念的叙述中，正确的是（ ）,糖类是具有甜味的物质,糖类是具有 <img src="/files/attach/files/content/2020/0325/1585129208.499.png"> 通式的物质</img,葡萄糖是一种单糖的主要原因是一种多羟基醛,淀粉是一种白色粉末，本身没有甜味,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d93f21261b0bf5f810494c1689f6_13472654ex.png,5f810494c1689f6_13472654ex.png,,,,,,,,,,,,
下列说法不正确的是（ ）,合成纤维与人造纤维可以统称为化学纤维,酚醛树脂和聚氯乙烯都是热固性塑料,天然橡胶的化学组成是聚异戊二烯,复合材料一般有强度高、质量轻、耐高温、耐腐蚀等优异性能，其综合性质超过了单一材料,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fbb7ac433b2f0f74b7048cbf55b0_4012325ex.png,0f74b7048cbf55b0_4012325ex.png,,,,,,,,,,,,
化学与社会、生产、生活紧切相关．下列说法正确的是（　　）,棉花和木材的主要成分都是纤维素，蚕丝和人造丝的主要成分都是蛋白质,石油干馏可得到石油气、汽油、煤油、柴油等,从海水中提取物质都必须通过化学反应才能实现,“地沟油”可用于制肥皂以及生物柴油以达到其再利用,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b0045c64b77e69eac415e00ee691_2348958ex.png,69eac415e00ee691_2348958ex.png,,,,,,,,,,,,
下列物质属于人体所需的糖类物质的是（ ）,淀粉,蛋白质,味精,食用油,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5bf083d47bd94c0e316711906aa2_3226181ex.png,4c0e316711906aa2_3226181ex.png,,,,,,,,,,,,
下列物质中能与新制氢氧化铜悬浊液反应生成砖红色沉淀的是（ ）,乙醇,乙酸,乙酸乙酯,葡萄糖,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d4b89acc5c68d0d5ad4701be22dc_3020439ex.png,d0d5ad4701be22dc_3020439ex.png,,,,,,,,,,,,
下图是几种常见有机物之间的转化关系，有关说法正确的是（ ）,有机物a只能是淀粉,反应①、②、③均为取代反应,有机物c可以使酸性高锰酸钾溶液褪色,有机物d的羧酸类同分异构体只有1种,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/dbc808bea2d92619383d4fc2aec0_6754267ex.png,2619383d4fc2aec0_6754267ex.png,,,,,,,,,,,,
医院里检查患者是否患有糖尿病，是检测其尿液中的（　　）,脂肪,食盐,蛋白质,葡萄糖,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/bf7ee03b43b8aa35f78f61c80f78_4796646ex.png,aa35f78f61c80f78_4796646ex.png,,,,,,,,,,,,
单糖是（）,具有甜味的物质,具有一个分子比较简单的糖,不能在水解成更简单的糖,最简式为的C<sub>n</sub>(H<sub>2</sub>O)<sub>m</sub>有机物,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/255139258e79b1b739503f47c3f7_899834ex.png,9b1b739503f47c3f7_899834ex.png,,,,,,,,,,,,
新版人民币的发行，引发了人们对有关人民币中化学知识的关注。下列表述错误的是（ ）,制造人民币所用的棉花、优质针叶木等原料的主要成分是纤维素,用于人民币票面文字等处的油墨中所含有的Fe<sub>2</sub>O<sub>3</sub>是一种磁性物质,防伪荧光油墨由颜料与树脂等制成，其中树脂属于有机高分子材料,某种验钞笔中含有碘酒溶液，遇假钞呈现蓝色，其中遇碘变蓝的是淀粉,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/eeaeb3837160b4a492b7efbeb00b_7640333ex.png,b4a492b7efbeb00b_7640333ex.png,,,,,,,,,,,,
从纤维素的化学成分看，它是一种（ ）,二糖,多糖,酯,脂肪,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f4a558c7166ad2729f1342d05cf6_4012331ex.png,d2729f1342d05cf6_4012331ex.png,,,,,,,,,,,,
日常生活中食用的白糖、冰糖和红糖的主要成分是（ ）。,淀粉,葡萄糖,蔗糖,果糖,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1b18f8f8b87fd25ea2b102d5ddd8_1376221ex.png,d25ea2b102d5ddd8_1376221ex.png,,,,,,,,,,,,
能证明淀粉已经完全水解的试剂是（　　）,淀粉﹣碘化钾试纸,银氨溶液,碘水,碘化钾,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1fdebfc064f31b4be6ce9d579234_4919118ex.png,1b4be6ce9d579234_4919118ex.png,,,,,,,,,,,,
下列物质经过彻底水解后，其产物是两种糖的是（ ）,麦芽糖,蔗糖,淀粉,纤维素,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/68fc7223016e717d76747a14c2c4_3978493ex.png,717d76747a14c2c4_3978493ex.png,,,,,,,,,,,,
纤维素被称为“第七营养素”．食物中的纤维素虽然不能被消化，但能刺激肠道蠕动和分泌消化液，有助于食物的消化和废物的排泄．在化学分类中，纤维素属于（　　）,蛋白质,脂肪,多糖,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/670de0336d9a992829816f20ea62_4797512ex.png,992829816f20ea62_4797512ex.png,,,,,,,,,,,,,
关于糖类的性质的理解正确的是（ ）,糖类是由C、H、O三种元素组成，是光合作用的产物,葡糖糖是一种无色的液态，有甜味，可溶于水,淀粉和纤维素是同分异构体,纤维素在人体中酶的作用下水解成葡糖糖,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a353c37bc6ae862150994be8788a_4012328ex.png,862150994be8788a_4012328ex.png,,,,,,,,,,,,
葡萄糖是一种单糖，其主要原因解释正确的是（　　）,分子结构最简单,在糖类物质中含碳原子最少,不能水解生成更简单的糖,分子中含有一个醛基,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e37fbf5c4cbcef1ad24dce26a3c6_4919122ex.png,ef1ad24dce26a3c6_4919122ex.png,,,,,,,,,,,,
葡萄糖是提供人体能量的营养物质，它在人体内发生的主要反应是（　　）,酯化反应,氧化反应,还原反应,水解反应,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b892ec7f6a93353a36e43892ca5d_1308717ex.png,353a36e43892ca5d_1308717ex.png,,,,,,,,,,,,
下列关于葡萄糖的叙述，错误的是( ),是白色晶体，能溶于水，有甜味,是一种多羟基醛，有还原性,能发生水解反应，生成酒精,与果糖互为同分异构体,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/316813874a1f3d51be686ddfa815_1376222ex.png,3d51be686ddfa815_1376222ex.png,,,,,,,,,,,,
下列说法中正确的是（ ）,糖类是有甜味的物质　,糖类组成一定符合通式C<sub>m</sub>(H<sub>2</sub>O)<sub>n</sub,符合通式C<sub>m</sub>(H<sub>2</sub>O)<sub>n</sub>的一定是糖类物质,糖类是人类维持生命的六大类营养素之一,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9d066365b183f0e10beb550ac66f_863246ex.png,3f0e10beb550ac66f_863246ex.png,,,,,,,,,,,,
《天工开物》中记载：人贱者短褐、枲裳，冬以御寒，夏以蔽体，其质造物之所具也。属草木者，为枲、麻、苘、葛，属禽兽与昆虫者为裘褐、丝绵。各载其半，而裳服充焉矣。文中的“枲、麻、苘、葛”和“裘褐、丝绵”分别属于（ ）,纤维素、油脂,糖类、油脂,纤维素、蛋白质,糖类、蛋白质,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c36d2618abe136c278ab3ae549a1_7106133ex.png,36c278ab3ae549a1_7106133ex.png,,,,,,,,,,,,
化学与生活、生产密切相关。下列叙述正确的是（ ）,酯在碱性条件下的水解反应叫皂化反应,橡胶、合成塑料、合成纤维均是人工合成的高分子材料,古代四大发明中“黑火药”的成分是“一硫二硝三木炭”，这里的“硝”指的足硝酸,《天工开物》记载：“凡埏泥造瓦，掘地二尺余，择取无沙粘土而为之”。“瓦”，传统无机非金属材料，主要成分为硅酸盐,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/61f26b661f9200c0301b9c86a9d6_7448963ex.png,00c0301b9c86a9d6_7448963ex.png,,,,,,,,,,,,
下列有关化学物质的叙述错误的是（ ）,水可以用来分离甘油和乙醇,果糖和葡萄糖互为同分异构体,甲烷、甲醇、甲苯、甲酸均可发生取代反应,植物油可经催化加氢转化为脂肪,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/060ec76a202dd1f3058a8b6d0a0c_7449863ex.png,d1f3058a8b6d0a0c_7449863ex.png,,,,,,,,,,,,
糖类是人体所需的重要营养物质。淀粉分子中不含的元素是（ ）,氢,碳,氮,氧,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/62a6066dcf19cdbcb56824f0d31f_11566854ex.png,dbcb56824f0d31f_11566854ex.png,,,,,,,,,,,,
关于侯氏制碱法，下列表述错误的是（ ）,食盐利用率比较高,实验条件下NaHCO<sub>3</sub>的溶解度较小,析出NaHCO<sub>3</sub>固体后的母液中只含氯化铵,在饱和食盐水中应先通入氨气，再通入二氧化碳,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4483d8a3001abc81cb9983b15eb6_10977531ex.png,c81cb9983b15eb6_10977531ex.png,,,,,,,,,,,,
石灰石是一种化工原料，可以通过反应生成一系列物质，如图．下列说法正确的是（　　）,漂粉精是混合物，主要成分是氯化钙,图示的制纯碱方法，要求先向饱和食盐水中通NH<sub>3</sub>  ， 然后再通CO<sub>2</sub,纯碱属于碱，俗名苏打,制取纯碱和漂粉精所涉及的反应都是非氧化还原反应,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8b5831121794d55936b9c4ccaec7_2193680ex.png,d55936b9c4ccaec7_2193680ex.png,,,,,,,,,,,,
“NaCl＋CO2＋NH3＋H2O→NaHCO3↓＋NH4Cl”是侯氏制碱法的重要反应。下面是4位同学对该反应涉及的有关知识发表的部分见解。错误的是（ ）,甲同学说：该条件下NaHCO<sub>3</sub>的溶解度较小,乙同学说： NaHCO<sub>3</sub>不是纯碱,丙同学说：析出 NaHCO<sub>3</sub>固体后的溶液中只含氯化铵,丁同学说：该反应是在饱和食盐水中先通入氨气，再通入二氧化碳,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a532a50b6f724b31c51b153b0780_10977135ex.png,b31c51b153b0780_10977135ex.png,,,,,,,,,,,,
下列与化学有关的说法中错误的是（　　）,侯氏制碱、肥皂的制取工艺过程中均应用了物质溶解度的差异,可用蘸浓氨水的棉棒检验输送氯气的管道是否漏气,石油分馏、煤的气化、海水晒盐、碱去油污、花生中提取花生油等过程都是物理变化,利用钠的性质制造的高压钠灯，可发出射程远、透雾能力强的黄光,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8567ac46b9d4c87379b10aa450dd_2193404ex.png,c87379b10aa450dd_2193404ex.png,,,,,,,,,,,,
1920年参与建设亚洲第一座纯碱厂——永利制碱厂，为我国纯碱工业发展做出杰出贡献的化学家是（ ）,屠呦呦,侯德榜,张青莲,徐光宪,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a1bedf27c446010a9ffbe0fcaa16_7128683ex.png,010a9ffbe0fcaa16_7128683ex.png,,,,,,,,,,,,
认识反应条件对化学反应的影响，对学好化工生产知识具有重要意义。下列说法不正确的是 (　　)。,SO<sub>2</sub>合成SO<sub>3</sub>虽然属于放热反应，但工业上合成SO<sub>3</sub>时仍需加热,合成氨工业采用高温高压和使用催化剂，因这些条件都符合化学平衡原理,合成纯碱的过程中，应首先向饱和食盐水中通入NH<sub>3</sub>  ， 再通入足量CO<sub>2</sub,通过加压降温的方法可获得制备NH<sub>3</sub>的原料气N<sub>2</sub,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fad22fc026f5dcc882e91ab4a245_1416627ex.png,dcc882e91ab4a245_1416627ex.png,,,,,,,,,,,,
某制碱厂的生产流程示意图如下：    下列分析正确的是（）,该制碱法是侯氏制碱法,反应 <img height="21" src="/files/attach/files/content/2020/0325/53c5729d5f33cbd820d287d7d62c608d.png" v:shapes="_x0000_i1080" width="21"/> 中包含复分解反应,X中只含有 <img height="21" src="/files/attach/files/content/2020/0325/dd855517056c39dae785ab3fcea1e791.png" v:shapes="_x0000_i1081" width="35"/> 和 <img height="21" src="/files/attach/files/content/2020/0325/6d7ed50666f704b0e58424e6b70a3bbf.png" v:shapes="_x0000_i1082" width="25",理论上，生产过程中无需补充 <img height="24" src="/files/attach/files/content/2020/0325/ddad33d7847aba9ad8df3a1a95fb8acb.png" v:shapes="_x0000_i1083" width="32",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/485d37f4150fe748336bd36af392_10660050ex.png,748336bd36af392_10660050ex.png,,,,,,,,,,,,
下列有关侯氏制碱法的描述正确的是（　　）,该反应条件下，碳酸氢钠难溶于水,氨气和二氧化碳均来自合成氨工厂,侯氏制碱法实现了对氨气循环利用,生产时，应先通二氧化碳再通氨气,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/74a3485f3569d2a12e4645f20c59_2193632ex.png,d2a12e4645f20c59_2193632ex.png,,,,,,,,,,,,
模拟侯氏制碱法原理，在CaCl2浓溶液中通入NH3和CO2可制得纳米级材料，装置见图示．下列说法正确的是（　　）,a通入适量的CO<sub>2</sub>  ， b通入足量的NH<sub>3</sub>  ， 纳米材料为Ca（HCO<sub>3</sub>）<sub>2</sub,a通入足量的NH<sub>3</sub>  ， b通入适量的CO<sub>2</sub>  ， 纳米材料为Ca（HCO<sub>3</sub>）<sub>2</sub,a通入适量的CO<sub>2</sub>  ， b通入足量的NH<sub>3</sub>  ， 纳米材料为CaCO<sub>3</sub,a通入少量的NH<sub>3</sub>  ， b通入足量的CO<sub>2</sub>  ， 纳米材料为CaCO<sub>3</sub,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8affcff90078eac5cb26bc15382c_2193631ex.png,eac5cb26bc15382c_2193631ex.png,,,,,,,,,,,,
下图是工业制纯碱的部分物质转化示意图，下列说法错误的是（）,X是NH<sub>3</sub>  ， Y是CO<sub>2</sub,M可在转化流程中循环利用,若是联合制碱法，则L的主要成分是NH<sub>4</sub>Cl,若是氨碱法，溶液c可在转化流程中循环利用,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5f3976dbd922a7c7f3e2d3880462_10659972ex.png,7c7f3e2d3880462_10659972ex.png,,,,,,,,,,,,
以下是在实验室模拟“侯氏制碱法”生产流程的示意图：则下列叙述错误的是（　　）,A气体是NH<sub>3</sub>  ， B气体是CO<sub>2</sub,把纯碱及第Ⅲ步所得晶体与某些固体酸性物质（如酒石酸）混合可制泡腾片,第Ⅲ步操作用到的主要玻璃仪器是烧杯、漏斗、玻璃棒,第Ⅳ步操作是将晶体溶于水后加热、蒸发、结晶,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ebd155d604fc6343cd21229c0f92_2193387ex.png,6343cd21229c0f92_2193387ex.png,,,,,,,,,,,,
我国化学家侯德榜根据NaHCO3溶解度比NaCl、Na2CO3、NH4HCO3、NH4Cl都小的性质，运用CO2+NH3+H2O+NaCl=NaHCO3↓+NH4Cl的反应原理制备纯碱．如图是在实验室进行模拟实验的生产流程示意图：气体A的饱和溶液A和食盐的饱和溶液悬浊液晶体纯碱，则下列叙述错误的是（　　）,A气体是NH<sub>3</sub>  ， B气体是CO<sub>2</sub,第Ⅲ步得到的晶体是发酵粉的主要成分,第Ⅲ步操作用到的主要玻璃仪器是烧杯、漏斗、玻璃棒,第Ⅳ步操作的主要过程有溶解、蒸发、结晶,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4170fabb6a2a60239e8790534c8b_2193638ex.png,60239e8790534c8b_2193638ex.png,,,,,,,,,,,,
化学无处不在，与化学有关的说法不正确的是（　　）,侯氏制碱法的工艺过程中应用了物质溶解度的差异,可用蘸浓盐酸的棉棒检验输送氨气的管道是否漏气,碘是人体必需微量元素，所以要多吃富含高碘酸的食物,黑火药由硫磺、硝石、木炭三种物质按一定比例混合制成,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3182cffc0892244ae2bc22fd84e1_2193380ex.png,244ae2bc22fd84e1_2193380ex.png,,,,,,,,,,,,
